Select your year group:,Which AI platforms or tools have you used for schoolwork or homework? (Select all that apply),How often do you use AI tools for academic work?,For which subjects do you most commonly use AI tools? (Select all that apply),How do you typically use AI tools for your schoolwork? (Select all that apply),"When you use AI for homework, do you typically:",How do you feel about using AI tools for schoolwork?,How confident are you in your ability to use AI tools effectively and ethically?,Do you currently declare when you've used AI tools in your homework or assignments?,How aware do you think your teachers are of your AI usage?,"How do you feel about teachers using AI in their teaching, e.g. when preparing resources for lessons?",What support would be most helpful from school regarding AI use? (Select up to 3),Have you ever been unsure whether your use of AI was appropriate for a particular assignment or task?,How did you first learn about using AI tools for schoolwork?,Do you primarily use AI tools on:,Are your parents/guardians aware that you use AI tools for schoolwork?,"What has prevented you from using AI tools more, or what concerns do you have? (Select all that apply)","Is there anything else you'd like us to know about your experience with AI tools, or suggestions for how the school could better support students in this area?"
Year 8,I have not used any AI tools for schoolwork;,Never,I don't use it;,I don't use it;,I don't use it,Very negative - prefer not to use them,Somewhat confident,Always,It varies significantly between teachers,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,I haven't really thought about this,Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,"Sometimes, there are children who use it for projects. However, they don't change the wording at all so it's really obvious and annoying"
Year 8,Language translation tools (e.g. Google Translate);Microsoft Copilot;,Several times a week,Modern Foreign Languages; English/Literature;Humanities;Mathematics;, Getting help understanding difficult concepts;Checking my work for errors;Solving math problems step-by-step;Translating text between languages;,both to check/improve my work and to understand concepts depending on the subjects,Neutral - neither positive nor negative,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice","friends/people i know, family members",Personal devices at home,I'm not sure if they know,Privacy concerns about my data;Prefer to do work without AI assistance;School policies are unclear;Worried it might be considered cheating;,whenever i search something on google it automatically gives my an ai response
Year 8,ChatGPT;Language translation tools (e.g. Google Translate);,Monthly, English/Literature;Mathematics;Modern Foreign Languages;, Getting help understanding difficult concepts;Translating text between languages;,"Use AI only to understand concepts, not create content",Unsure/haven't thought about it much,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Personal devices at home,I'm not sure if they know,Concerned about accuracy of AI responses;,no
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Helping with research and finding information; Getting help understanding difficult concepts;,Use AI to check or improve work I've already created,Very negative - prefer not to use them,Not very confident,Sometimes,Not aware at all - they don't know I use AI, Very positive ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice",Teachers or school,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,"When i selected the translate in modern foreign languages, I only use it just for a few words when i am unsure and even then, i mostly use Word reference"
Year 8,Language translation tools (e.g. Google Translate);ChatGPT;,Rarely,Humanities;Mathematics;, Getting help understanding difficult concepts;Helping with research and finding information;Solving math problems step-by-step;Translating text between languages;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,Sometimes,It varies significantly between teachers,Somewhat negative ,Training on how to use AI tools effectively;,I haven't really thought about this,Found them myself through online research,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;,"I think AI is very useful in certain ways but definitely has it's limitations when it comes to school work. I think that AI should not be allowed to use in lessons or for homework etc. Maybe if you are confused on a question or doing a fact file where you need to find information, something like that is fine but anything that involves using it to write essays or something along those lines should not be allowed. Maybe it should be blocked on school computers?"
Year 8,Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Rarely, English/Literature;Modern Foreign Languages;,Checking my work for errors;Translating text between languages; Getting help understanding difficult concepts;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,Somewhat confident,Rarely,It varies significantly between teachers,Somewhat negative ,Training on how to use AI tools effectively;Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;,"Yes, occasionally","Social media (TikTok, YouTube, etc.)",Both school and personal devices equally,I'm not sure if they know,Worried it might be considered cheating;Prefer to do work without AI assistance;Concerned about accuracy of AI responses;,no thanks
Year 8,Language translation tools (e.g. Google Translate);,Monthly,Humanities;Modern Foreign Languages;,Helping with research and finding information; Getting help understanding difficult concepts;Translating text between languages;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;,"No, never",Friends or classmates,Personal devices at home,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;School policies are unclear;,no
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Checking my work for errors;Improving my writing style and grammar;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Clear guidelines on when AI use is acceptable;Discussion sessions about AI ethics;Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice",Family members,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,I don't think so...
Year 8,ChatGPT;,Rarely,Mathematics;, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Somewhat positive ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;,I haven't really thought about this,Teachers or school,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;Concerned about accuracy of AI responses;,no
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Very negative ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Teachers or school,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;Prefer to do work without AI assistance;Privacy concerns about my data;,n/a
Year 8,Language translation tools (e.g. Google Translate);Grammarly (AI writing assistant);Microsoft Copilot;,Rarely,Modern Foreign Languages;, Getting help understanding difficult concepts;Checking my work for errors;Solving math problems step-by-step;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details, Very positive ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;Discussion sessions about AI ethics;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,I'm not sure if they know,Concerned about accuracy of AI responses;Worried it might be considered cheating;Prefer to do work without AI assistance;,no
Year 8,Language translation tools (e.g. Google Translate);ChatGPT;,Rarely,Modern Foreign Languages;,Translating text between languages; Getting help understanding difficult concepts;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Learning about AI limitations and potential biases;Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;,"No, never",News or articles,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Don't have reliable access to AI tools;Concerned about accuracy of AI responses;Cost of premium AI services;Privacy concerns about my data;,no
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Checking my work for errors; Getting help understanding difficult concepts;Translating text between languages;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,Rarely,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,No
Year 8,Language translation tools (e.g. Google Translate);Grammarly (AI writing assistant);Gizmo.ai (studying website);,Monthly,"Modern Foreign Languages;Sciences (Biology, Chemistry, Physics);Computer Science;",Checking my work for errors; creating study decks or questions ; Getting help understanding difficult concepts;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Personal devices at home,"Yes, they know and are supportive",Prefer to do work without AI assistance;, 
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Checking my work for errors;Translating text between languages;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Unsure/haven't thought about it much,Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Teachers or school,School devices/network,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,no
Year 8,I have not used any AI tools for schoolwork;,Rarely,Modern Foreign Languages;, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Unsure/haven't thought about it much,"Unsure what ""effective and ethical"" means in this context",Sometimes,It varies significantly between teachers,Somewhat negative ,Training on how to use AI tools effectively;Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Family members,I don't currently use AI tools,"Yes, they know and are supportive",Worried it might be considered cheating;Don't have reliable access to AI tools;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Don't know how to use them effectively;,.
Year 8,ChatGPT;Microsoft Copilot;Language translation tools (e.g. Google Translate);,Several times a week, English/Literature;Humanities;,Helping with research and finding information; Getting help understanding difficult concepts;Generating ideas for essays or projects;,Use AI as a starting point and significantly modify the output,Very positive - they're extremely helpful, Very confident,Sometimes,Not very aware - they might suspect but don't know details, Very positive ,Clear guidelines on when AI use is acceptable;,"Yes, occasionally",Found them myself through online research,Personal devices at home,"Yes, they know but don't have strong opinions",Prefer to do work without AI assistance;Worried it might be considered cheating;,no
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Helping with research and finding information;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,"Unsure what ""effective and ethical"" means in this context",Usually,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Nothing - I'm comfortable with my current AI use;Training on how to use AI tools effectively;,"No, never",Friends or classmates,Personal devices at home,"Yes, they know but have concerns",Concerned about accuracy of AI responses;Privacy concerns about my data;School policies are unclear;,no
Year 8,I have not used any AI tools for schoolwork;,Never,Never;,Never;,Never,Unsure/haven't thought about it much,Not very confident,Never,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,I don't know - I don't use AI;,I haven't really thought about this,I don't use AI for schoolwork,I don't currently use AI tools,Not applicable - I don't use AI tools,I don't use AI for work;,"No, thanks."
Year 8,ChatGPT;,Rarely,"Humanities;Sciences (Biology, Chemistry, Physics);","I only use Chat GPT to make revision notes for exams, as I find it helpful to put all my resources in one place;",I don't use it for homework,Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Somewhat negative ,Training on how to use AI tools effectively;Discussion sessions about AI ethics;Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Privacy concerns about my data;,No
Year 8,Language translation tools (e.g. Google Translate);,Monthly,Modern Foreign Languages;Computer Science;, Getting help understanding difficult concepts;Helping with research and finding information;Translating text between languages;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Usually,Somewhat aware - they have a general idea,Somewhat positive ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",News or articles,School devices/network,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;,"Maybe school could suggest websites that give trustworthy information because chatgpt isn't always right. Also a lot of people use AI just to research when completing projects, so a good research platform with direct responses to question asked would stop a lot of people from swooping down to chatgpt and non reliable AI."
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Somewhat negative ,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,I haven't really thought about this,Teachers or school,School devices/network,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,"When I use Google Translate, it is to only translate phrases/words, not whole paragrpahs"
Year 8,Language translation tools (e.g. Google Translate);Google Bard/Gemini;,Monthly,Modern Foreign Languages;Mathematics;, Getting help understanding difficult concepts;Checking my work for errors;Translating text between languages;,Use AI to check or improve work I've already created,Unsure/haven't thought about it much,Somewhat confident,Sometimes,It varies significantly between teachers,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Found them myself through online research,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;Don't know how to use them effectively;Cost of premium AI services;Privacy concerns about my data;,n/a
Year 8,Language translation tools (e.g. Google Translate);Quillbot (paraphrasing tool);ChatGPT;,Rarely,Computer Science;Modern Foreign Languages;, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Usually,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Teachers or school,Personal devices at school,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;Prefer to do work without AI assistance;,.
Year 8,ChatGPT;Photomath or similar math solvers;,Weekly,"Modern Foreign Languages;Mathematics;Sciences (Biology, Chemistry, Physics); English/Literature;", Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;Helping with research and finding information;Improving my writing style and grammar;Solving math problems step-by-step;Creating first drafts of assignments;Translating text between languages;,Use AI to check or improve work I've already created,Very positive - they're extremely helpful, Very confident,Rarely,Not aware at all - they don't know I use AI,Somewhat positive ,Training on how to use AI tools effectively;Clear guidelines on when AI use is acceptable;Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Teachers or school,Personal devices at home,"Yes, they know and are supportive",School policies are unclear;Worried it might be considered cheating;Concerned about accuracy of AI responses;,no
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Checking my work for errors;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,Sometimes,Somewhat aware - they have a general idea,Somewhat positive ,Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Friends or classmates,School devices/network,I'm not sure if they know,Worried it might be considered cheating;Prefer to do work without AI assistance;,I think that we should be told exactly what AI we are allowed to use because certain AI tools can be beneficial to students' individual needs. e.g. Grammarly for spelling. I also think that AI tools should be allowed as long the student is doing her own work with a only small amount of help from certain AI tools.
Year 8,Language translation tools (e.g. Google Translate);,Weekly,Modern Foreign Languages;,Translating text between languages;finding the meaning of some words in different languages;,use ai to see the definition of a word in another language,Very positive - they're extremely helpful,Somewhat confident,Sometimes,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Family members,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;,.
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,To understand words i've never seen bofore;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them, Very confident,Always,Very aware - they know exactly how and when I use AI, Very positive ,Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Teachers or school,School devices/network,I'm not sure if they know,Prefer to do work without AI assistance;,"I prefer to work without the assistance of Google translate, but it is sometimes helpful when i see a word i am not familiar with. Before using the tool i asked the teacher whether it was okay, and she said that it was alright if i sometimes use Google Translate for words i am unsure about so long as i do not rely on it to complete my work."
Year 8,ChatGPT;Microsoft Copilot;Language translation tools (e.g. Google Translate);,Monthly,Modern Foreign Languages;, Getting help understanding difficult concepts;Solving math problems step-by-step;Translating text between languages;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative, Very confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"No, never",Friends or classmates,Both school and personal devices equally,"Yes, they know and are supportive",Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;,No.
Year 8,ChatGPT;,Rarely,"Mathematics;Sciences (Biology, Chemistry, Physics);Humanities;",Checking my work for errors;making practise papers and making timetables for revision ;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations, Very confident,Never,It varies significantly between teachers, Very positive ,Clear guidelines on when AI use is acceptable;,"Yes, occasionally",Friends or classmates,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;,No
Year 8,ChatGPT;Photomath or similar math solvers;,Monthly, English/Literature;Mathematics;,Helping with research and finding information;Generating ideas for essays or projects;Solving math problems step-by-step;,Use AI as a starting point and significantly modify the output,Neutral - neither positive nor negative,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Learning about AI limitations and potential biases;,"Yes, but only once or twice",Friends or classmates,Personal devices at school,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;,No
Year 8,Language translation tools (e.g. Google Translate);ChatGPT;Microsoft Copilot;,Rarely,"Modern Foreign Languages;Mathematics;Sciences (Biology, Chemistry, Physics);Computer Science;",Creating practice exams for subjects;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,Never,Somewhat aware - they have a general idea,Somewhat positive ,Discussion sessions about AI ethics;Subject-specific guidance on appropriate AI use;Learning about AI limitations and potential biases;Training on how to use AI tools effectively;,"No, never",Friends or classmates,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;Privacy concerns about my data;Prefer to do work without AI assistance;,"I believe that AI can be very useful, I personally use it to create flashcards and check my answers to homework"
Year 8,Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;, Getting help understanding difficult concepts;Translating text between languages;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,Sometimes,It varies significantly between teachers,Very negative ,Discussion sessions about AI ethics;Learning about AI limitations and potential biases;,"No, never",Found them myself through online research,Personal devices at home,Not applicable - I don't use AI tools,Concerned about accuracy of AI responses;,N/A
Year 8,Microsoft Copilot;,Monthly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Not very confident,Sometimes,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice",Friends or classmates,Both school and personal devices equally,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;,"maybe a bit more guidance on when to use it and how to use it effectively, so that students aren't getting in as much trouble as they don't know when it i appropriate to use AI, also understanding how to say we have used AI"
Year 8,ChatGPT;Language translation tools (e.g. Google Translate);Google Bard/Gemini;,Weekly,Modern Foreign Languages; English/Literature;,Helping with research and finding information;Translating text between languages;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,Sometimes,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;,"Yes, occasionally",Family members,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;,no
Year 8,ChatGPT;Grammarly (AI writing assistant);Photomath or similar math solvers;,Rarely," English/Literature;Mathematics;Sciences (Biology, Chemistry, Physics);Humanities;Modern Foreign Languages;Computer Science;", Getting help understanding difficult concepts;Helping with research and finding information;Solving math problems step-by-step;I use it to help me study. ;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;Discussion sessions about AI ethics;,"Yes, but only once or twice",Family members,Both school and personal devices equally,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;Prefer to do work without AI assistance;,"When using AI, it's nearly always for studying and very rarely for actual school work that I submit. The only times I will use AI in actual school work are Grammarly for spelling and punctuation checking or sometimes maths AI if I need step-by-step instructions on how to do a question. "
Year 8,ChatGPT;Grammarly (AI writing assistant);,Rarely,"Creative subjects (Art, Music, Drama);Modern Foreign Languages;", Getting help understanding difficult concepts;Checking my work for errors;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Somewhat positive ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;School policies are unclear;Concerned about accuracy of AI responses;,No
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Not confident at all,Always,Very aware - they know exactly how and when I use AI,Somewhat negative ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;,"No, never",Teachers or school,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;Prefer to do work without AI assistance;Privacy concerns about my data;,no
Year 8,Microsoft Copilot;Language translation tools (e.g. Google Translate);Google AI overview;,Rarely,Humanities;Modern Foreign Languages;, Getting help understanding difficult concepts;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Found them myself through online research,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,No
Year 8,Language translation tools (e.g. Google Translate);ChatGPT;,Rarely,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;,"No, never",Friends or classmates,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;,"I very rarely use it, but when i do its mostly to help explain concepts that i struggled to understand in lessons, especially in science."
Year 8,ChatGPT;Microsoft Copilot;Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);atlas;,Monthly,Modern Foreign Languages;,Checking my work for errors;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,Never,It varies significantly between teachers,Somewhat negative ,Training on how to use AI tools effectively;,"Yes, occasionally",Friends or classmates,Both school and personal devices equally,"Yes, they know and are supportive",Worried it might be considered cheating;School policies are unclear;Concerned about accuracy of AI responses;,"i think ai could be very useful, however i think many people dont know how to use it corrctly and efficiently, so i would like it if teachers help us use it to the best of our advantage, and them ankowlaging that ai is good."
Year 8,Language translation tools (e.g. Google Translate);ChatGPT;,Several times a week,"Sciences (Biology, Chemistry, Physics);Modern Foreign Languages;Humanities; English/Literature;Computer Science;",Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Sometimes,Somewhat aware - they have a general idea,Somewhat positive ,Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"Yes, occasionally",Teachers or school,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;School policies are unclear;Concerned about accuracy of AI responses;Cost of premium AI services;,no
Year 8,Microsoft Copilot;Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Helping with research and finding information;Translating text between languages; Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Learning about AI limitations and potential biases;Nothing - I'm comfortable with my current AI use;Clear guidelines on when AI use is acceptable;,I haven't really thought about this,Friends or classmates,School devices/network,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;,I would like if teachers could tell us and let us know how to use ai more efficiently because I feel like most students don't know how to use it correctly so I think that we should know how to use it properly up to a certain point.
Year 8,Language translation tools (e.g. Google Translate);,Monthly,Modern Foreign Languages;,checking words in other languages I don't know;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,Never,Not very aware - they might suspect but don't know details,Very negative ,Subject-specific guidance on appropriate AI use;,I haven't really thought about this,Friends or classmates,I don't currently use AI tools,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Prefer to do work without AI assistance;Privacy concerns about my data;,be able to figure out when a students is using AI massively in there work
Year 8,ChatGPT;,Rarely,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;,"No, never",Friends or classmates,Personal devices at school,I'm not sure if they know,Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,Maybe just give clear guidelines
Year 8,Language translation tools (e.g. Google Translate);ChatGPT;,Monthly,Design Technology;Modern Foreign Languages;,Translating text between languages;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,Never,It varies significantly between teachers,Somewhat negative ,Training on how to use AI tools effectively;,"Yes, but only once or twice",Family members,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Privacy concerns about my data;Prefer to do work without AI assistance;,NO
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;Checking my work for errors;,Use AI to check or improve work I've already created,Unsure/haven't thought about it much,Not confident at all,Always,Very aware - they know exactly how and when I use AI,Very negative ,Clear guidelines on when AI use is acceptable;Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Prefer to do work without AI assistance;,No.
